C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.28CEST13:59:15

Vmag <= 6
---------

Number of objects : 5225

 #  |            identifier             |typ|        coord2 (FK5,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
146 |HD 192985                          |PM*|20 16 00.6155067537 +45 34 46.287745582|     ~| 6.281| 5.864|     ~|     ~|F5V:                 |  81 |   0
147 |HD 194152                          |SB*|20 22 05.3633286956 +45 47 41.972526833|     ~| 6.653| 5.572|     ~|     ~|K0IIIv               |  52 |   0
148 |V* V2015 Cyg                       |a2*|20 33 54.8431514977 +46 41 37.870172272|     ~| 5.626| 5.769|     ~|     ~|B8pSi                |  93 |   0
149 |* 51 Cyg                           |*  |20 42 12.6238598571 +50 20 24.043390052| 4.64 | 5.286| 5.401|     ~|     ~|B2V                  |  75 |   0
150 |HD 199611                          |*  |20 56 25.4777153650 +50 43 42.945803551|     ~| 6.157| 5.820|     ~|     ~|F0III                |  50 |   0
151 |HD 199955                          |** |20 58 30.03385 +50 27 42.4409          |     ~| 5.77 | 5.90 | 6.84 |     ~|B7IVn+B7IV           |  49 |   0
152 |HD 200817                          |SB*|21 03 47.6233971240 +53 17 09.265688147|     ~| 6.927| 5.918|     ~|     ~|K0III                |  24 |   0
153 |HD 201834                          |*  |21 10 15.5711731201 +53 33 47.170431277|     ~| 5.630| 5.747|     ~|     ~|B9III                |  46 |   0
154 |HD 204428                          |*  |21 26 44.9696066428 +52 53 54.728903614|     ~| 5.873| 5.987|     ~|     ~|B7III                |  29 |   0
155 |HD 208095                          |Ce*|21 52 01.0391965475 +55 47 48.294195268| 5.11 | 5.550| 5.657|     ~|     ~|B6IV-V               |  92 |   0
156 |* 13 Cep                           |V* |21 54 53.1538674561 +56 36 40.407476918| 6.50 | 6.52 | 5.80 | 5.12 | 4.52 |B8Ib                 | 174 |   0
157 |* 14 Cep                           |SB*|22 02 04.5726568485 +58 00 01.308560227| 4.77 | 5.551| 5.542|     ~|     ~|O9IV(n)var+B1:V:     | 241 |   0
158 |* zet Cep                          |EB*|22 10 51.2769159 +58 12 04.545587      | 6.62 | 4.90 | 3.35 | 2.27 | 1.49 |K1.5Ib               | 261 |   0
159 |HD 211554                          |*  |22 16 26.5634835956 +57 13 12.853034712|     ~| 6.832| 5.882|     ~|     ~|G8III                |  35 |   0
160 |* del Cep                          |cC*|22 29 10.2650184 +58 24 54.713856      | 4.71 | 4.35 | 3.75 |     ~| 3.219|F5Iab:+B7-8          | 677 |   0
161 |HD 216595                          |*  |22 53 03.7837778580 +60 06 03.707957622|     ~| 7.716| 5.984|     ~|     ~|K2V:                 |  17 |   0
162 |* 1 Cas                            |*  |23 06 36.8178557 +59 25 11.135698      | 3.93 | 4.771| 4.840|     ~|     ~|B0.5III              | 229 |   0
163 |* 2 Cas                            |*  |23 09 44.1387725107 +59 19 57.683340862| 6.33 | 5.977| 5.679|     ~|     ~|A4II                 |  43 |   0
164 |HD 220369                          |V* |23 22 32.5326415068 +60 08 00.543941485|     ~| 7.189| 5.513|     ~|     ~|K3II                 |  34 |   0
165 |* bet Cas                          |dS*|00 09 10.68518 +59 08 59.2120          | 2.73 | 2.61 | 2.27 | 1.97 | 1.77 |F2III                | 498 |   0
